Key,Id,Shared Comments,English(en),English(en) Comments,German (Germany)(de-DE),German (Germany)(de-DE) Comments
"Attack",192826634240,"","Deal {0} damage","","Verursache {0} schaden",""
"FastAttack",3191552667648,"","Deal {0} damage","","Verursache {0} schaden",""
"SlowAttack",19875859386920960,"","Deal {0} damage","","Verursache {0} schaden",""
"HPPotion",29977403746742272,"","Heal {0} HP","","Heilt {0} HP",""
"PowerPotion",29977841288146944,"","Your next card deals {0} more damage","","Deine nächste Karte macht {0} mehr schaden",""
"DoubleStrike",29983210592858112,"","Deal {0} damage {1} times","","Verursache {0} mal {1} schaden",""
"CrazyPotion",29986578191151104,"","Increase ALL numbers on your next card text by {0}","","Eröhe ALLE Nummern auf den Text deiner nächsten Karte um {0}",""
"ChargedStrike",30001392254775296,"","Deal {0} damage. Improved by {1} for card you played this game","","Verursache {0} schaden. Verbessert bei {1} für jede gespielte Karte diesen Kampf.",""
"SpikeShield",30359526865432576,"","While charging  reduce incoming damage by {0} and reflect it","","Reduziere erlitten schaden beim Aufladen um {0} und reflektiere ihn zurück",""
"HealingShield",30365686519623680,"","While charging heal instead of taking damage","","Heile beim aufladen schaden statt welchen zu nehmen",""
"TieUp",30370677049323520,"","Your enemies next card takes {0} longer to charge","","Die nächste gegnerische Karte braucht {0} länger zum aufladen",""
"CrossSwords",35397155210194944,"","Deal the combined damage of both adjecent cards ({0})","","Füge den kombinierten Schaden der benachbarten Karten zu ({0})",""
"SwordHail",35403646050824192,"","Deal {0} damage {1} times","","Füge {1} mal {0} schaden zu",""
"HarmlessPotion",35405931053117440,"","Increase all non-Damage numbers of the next card by {0}","","Erhöhe alle nicht-schadensnummern der nächsten Karte um {0}",""
"BreakSword",35408602262728704,"","Your opponents next card deals {0} damage","","Die nächste Karte des Gegners macht {0} schaden",""
"Boots",35414564574916608,"","Reduce the cooldown of your next {0} cards by {1}","","Reduziere den Cooldown deiner {0} nächsten Karten um {1}",""
"ThrowSword",35417337991327744,"","Use your next card with {0}x damage. Then make it useless","","Benutze deine nächste Karte mit {0} fachen schaden. Mach es dann nutzlos",""
"MightySword",35424885691707392,"","Deal {0} damage. Buffs count {1} times (total:{2})","","Verursache {0} schaden. Buffs zählen {1} fach (total:{2})",""
"WoundingStrike",35783242814386176,"","Debuff: Wound ","","Debuff: Wunde",""
